Année;Trimestre;Dernier jour du trimestre;Masse salariale à T+50 jours (brut);Masse salariale à T+70 jours (brut);Masse salariale à T+50 jours (cvs);Masse salariale à T+70 jours (cvs);Glissement trimestriel - Masse salariale à T+50 jours (cvs);Glissement trimestriel - Masse salariale à T+70 jours (cvs);Glissement annuel - Masse salariale à T+50 jours (cvs);Glissement annuel - Masse salariale à T+70 jours (cvs)
2013;4;2013-12-31;134190951833;134190951833;128244258452;128244284119;0.383119621;0.383183936;1.310669692;1.310659092
2015;1;2015-03-31;128836589397;128836589397;130557615924;130557683603;0.468455351;0.468563736;1.440585915;1.440603192
2016;4;2016-12-31;141800083648;141800083648;136082879188;136082245888;0.800700705;0.800714583;2.402313227;2.402053186
2017;2;2017-06-30;139941123013;139941123013;138953822877;138954874987;0.751184731;0.751663699;3.492804833;3.493000907
2018;1;2018-03-31;141289154122;141289154122;142763325936;142764330525;0.914137511;0.915617553;3.51333937;3.513776099
2019;1;2019-03-31;144933305505;144933305505;146368827213;146370441131;-0.140089824;-0.13836571;2.525509443;2.525918479
2019;2;2019-06-30;149694421245;149694421245;148564176505;148563205070;1.499874894;1.498092048;3.209353071;3.208269059
2020;2;2020-06-30;124633562090;124633562090;123394355165;123392607936;-15.60025632;-15.60256897;-16.94205288;-16.94268586
2021;2;2021-06-30;150572679612;150572679612;149252591165;149247180185;1.883121166;1.879061261;20.95576898;20.95309653
2023;3;2023-09-30;169752811612;169752811612;176637545258;176600736404;0.676901965;0.658687213;5.212436711;5.210052763
2023;4;2023-12-31;182585487779;182585487779;177514303340;177549555659;0.496359979;0.537268006;4.540331429;4.53913905
